=== ОТЧЕТ 2026-02-12 17:35:03.447218 ===

Алгоритм: BresenhamStrategy | (20, 61) -> (34, 63)
№    | X    | Y    | Alpha  | Info
-------------------------------------------------------
0    | 20   | 61   | 1.00   | e=-10
1    | 21   | 61   | 1.00   | e=-6
2    | 22   | 61   | 1.00   | e=-2
3    | 23   | 61   | 1.00   | e=2
4    | 24   | 62   | 1.00   | e=-22
5    | 25   | 62   | 1.00   | e=-18
6    | 26   | 62   | 1.00   | e=-14
7    | 27   | 62   | 1.00   | e=-10
8    | 28   | 62   | 1.00   | e=-6
9    | 29   | 62   | 1.00   | e=-2
10   | 30   | 62   | 1.00   | e=2
11   | 31   | 63   | 1.00   | e=-22
12   | 32   | 63   | 1.00   | e=-18
13   | 33   | 63   | 1.00   | e=-14
14   | 34   | 63   | 1.00   | e=-10
=======================================================

Алгоритм: WuStrategy | (37, 100) -> (78, 116)
№    | X    | Y    | Alpha  | Info
-------------------------------------------------------
0    | 37   | 100  | 0.50   | start
1    | 37   | 101  | 0.00   | start
2    | 78   | 116  | 0.50   | end
3    | 78   | 117  | 0.00   | end
4    | 38   | 100  | 0.61   | aa
5    | 38   | 101  | 0.39   | aa
6    | 39   | 100  | 0.22   | aa
7    | 39   | 101  | 0.78   | aa
8    | 40   | 101  | 0.83   | aa
9    | 40   | 102  | 0.17   | aa
10   | 41   | 101  | 0.44   | aa
11   | 41   | 102  | 0.56   | aa
12   | 42   | 101  | 0.05   | aa
13   | 42   | 102  | 0.95   | aa
14   | 43   | 102  | 0.66   | aa
15   | 43   | 103  | 0.34   | aa
16   | 44   | 102  | 0.27   | aa
17   | 44   | 103  | 0.73   | aa
18   | 45   | 103  | 0.88   | aa
19   | 45   | 104  | 0.12   | aa
20   | 46   | 103  | 0.49   | aa
21   | 46   | 104  | 0.51   | aa
22   | 47   | 103  | 0.10   | aa
23   | 47   | 104  | 0.90   | aa
24   | 48   | 104  | 0.71   | aa
25   | 48   | 105  | 0.29   | aa
26   | 49   | 104  | 0.32   | aa
27   | 49   | 105  | 0.68   | aa
28   | 50   | 105  | 0.93   | aa
29   | 50   | 106  | 0.07   | aa
30   | 51   | 105  | 0.54   | aa
31   | 51   | 106  | 0.46   | aa
32   | 52   | 105  | 0.15   | aa
33   | 52   | 106  | 0.85   | aa
34   | 53   | 106  | 0.76   | aa
35   | 53   | 107  | 0.24   | aa
36   | 54   | 106  | 0.37   | aa
37   | 54   | 107  | 0.63   | aa
38   | 55   | 107  | 0.98   | aa
39   | 55   | 108  | 0.02   | aa
40   | 56   | 107  | 0.59   | aa
41   | 56   | 108  | 0.41   | aa
42   | 57   | 107  | 0.20   | aa
43   | 57   | 108  | 0.80   | aa
44   | 58   | 108  | 0.80   | aa
45   | 58   | 109  | 0.20   | aa
46   | 59   | 108  | 0.41   | aa
47   | 59   | 109  | 0.59   | aa
48   | 60   | 108  | 0.02   | aa
49   | 60   | 109  | 0.98   | aa
50   | 61   | 109  | 0.63   | aa
51   | 61   | 110  | 0.37   | aa
52   | 62   | 109  | 0.24   | aa
53   | 62   | 110  | 0.76   | aa
54   | 63   | 110  | 0.85   | aa
55   | 63   | 111  | 0.15   | aa
56   | 64   | 110  | 0.46   | aa
57   | 64   | 111  | 0.54   | aa
58   | 65   | 110  | 0.07   | aa
59   | 65   | 111  | 0.93   | aa
60   | 66   | 111  | 0.68   | aa
61   | 66   | 112  | 0.32   | aa
62   | 67   | 111  | 0.29   | aa
63   | 67   | 112  | 0.71   | aa
64   | 68   | 112  | 0.90   | aa
65   | 68   | 113  | 0.10   | aa
66   | 69   | 112  | 0.51   | aa
67   | 69   | 113  | 0.49   | aa
68   | 70   | 112  | 0.12   | aa
69   | 70   | 113  | 0.88   | aa
70   | 71   | 113  | 0.73   | aa
71   | 71   | 114  | 0.27   | aa
72   | 72   | 113  | 0.34   | aa
73   | 72   | 114  | 0.66   | aa
74   | 73   | 114  | 0.95   | aa
75   | 73   | 115  | 0.05   | aa
76   | 74   | 114  | 0.56   | aa
77   | 74   | 115  | 0.44   | aa
78   | 75   | 114  | 0.17   | aa
79   | 75   | 115  | 0.83   | aa
80   | 76   | 115  | 0.78   | aa
81   | 76   | 116  | 0.22   | aa
82   | 77   | 115  | 0.39   | aa
83   | 77   | 116  | 0.61   | aa
=======================================================

